index,slack,requirement,datapath_delay,logic_levels,startpoint,endpoint,path_group
0,0.467,15.000,14.397,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[8]/D,
1,0.648,15.000,14.215,13,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/alu_operand_c_ex_o_reg[30]/D,
2,0.648,15.000,14.215,13,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[30]/D,
3,0.658,15.000,14.205,13,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[30]/D,
4,0.658,15.000,14.205,13,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[30]/D,
5,0.678,15.000,14.185,13,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/mult_operand_c_ex_o_reg[30]/D,
6,0.709,15.000,14.154,13,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[29]/D,
7,0.709,15.000,14.154,13,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/mult_operand_c_ex_o_reg[29]/D,
8,0.719,15.000,14.144,13,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[29]/D,
9,0.719,15.000,14.144,13,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[29]/D,
10,0.739,15.000,14.124,13,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/alu_operand_c_ex_o_reg[29]/D,
11,0.830,15.000,14.033,12,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[23]/D,
12,0.830,15.000,14.033,12,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/mult_operand_c_ex_o_reg[23]/D,
13,0.835,15.000,14.065,15,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/mult_operand_a_ex_o_reg[23]/D,
14,0.836,15.000,14.027,13,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[31]/D,
15,0.836,15.000,14.027,13,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[31]/D,
16,0.836,15.000,14.027,13,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/mult_operand_c_ex_o_reg[31]/D,
17,0.839,15.000,14.061,15,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/mult_operand_a_ex_o_reg[21]/D,
18,0.839,15.000,14.061,15,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[21]/D,
19,0.840,15.000,14.023,12,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[23]/D,
20,0.840,15.000,14.023,12,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[23]/D,
21,0.844,15.000,14.019,13,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/D,
22,0.844,15.000,14.019,13,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/mult_operand_a_ex_o_reg[31]/D,
23,0.845,15.000,14.018,13,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[26]/D,
24,0.845,15.000,14.018,13,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/mult_operand_c_ex_o_reg[26]/D,
25,0.855,15.000,14.008,13,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[26]/D,
26,0.855,15.000,14.008,13,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[26]/D,
27,0.860,15.000,14.003,12,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/alu_operand_c_ex_o_reg[23]/D,
28,0.864,15.000,14.000,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/mult_operand_c_ex_o_reg[12]/D,
29,0.865,15.000,13.998,13,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/alu_operand_c_ex_o_reg[31]/D,
30,0.872,15.000,13.992,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[12]/D,
31,0.872,15.000,13.992,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[12]/D,
32,0.872,15.000,13.992,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/mult_operand_a_ex_o_reg[12]/D,
33,0.872,15.000,13.992,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[12]/D,
34,0.875,15.000,13.989,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[18]/D,
35,0.875,15.000,13.989,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/mult_operand_c_ex_o_reg[13]/D,
36,0.875,15.000,13.989,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/mult_operand_c_ex_o_reg[18]/D,
37,0.875,15.000,13.988,13,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/C,core_i/core_i/id_stage_i/alu_operand_c_ex_o_reg[26]/D,
38,0.878,15.000,13.986,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/D,
39,0.878,15.000,13.986,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[16]/D,
40,0.878,15.000,13.986,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/mult_operand_c_ex_o_reg[15]/D,
41,0.878,15.000,13.986,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/mult_operand_c_ex_o_reg[16]/D,
42,0.879,15.000,13.985,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[11]/D,
43,0.879,15.000,13.985,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/mult_operand_c_ex_o_reg[11]/D,
44,0.880,15.000,13.984,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[9]/D,
45,0.880,15.000,13.984,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/mult_operand_c_ex_o_reg[9]/D,
46,0.882,15.000,13.982,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[1]/D,
47,0.882,15.000,13.982,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/mult_operand_c_ex_o_reg[1]/D,
48,0.883,15.000,13.981,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[13]/D,
49,0.883,15.000,13.981,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[18]/D,
50,0.883,15.000,13.981,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[13]/D,
51,0.883,15.000,13.981,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[18]/D,
52,0.883,15.000,13.981,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/mult_operand_a_ex_o_reg[13]/D,
53,0.883,15.000,13.981,14,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[31]/C,core_i/core_i/id_stage_i/mult_operand_a_ex_o_reg[18]/D,
