index,slack,requirement,datapath_delay,logic_levels,startpoint,endpoint,path_group
34,0.551,14.000,13.391,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[18].mem_reg[18][24]/D,
35,0.551,14.000,13.315,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[7].mem_reg[7][22]/D,
36,0.552,14.000,13.445,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[26].mem_reg[26][5]/D,
37,0.553,14.000,13.433,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[21].mem_reg[21][5]/D,
38,0.554,14.000,13.432,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[30].mem_reg[30][5]/D,
39,0.557,14.000,13.222,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[20].mem_reg[20][22]/D,
40,0.558,14.000,13.382,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[7]/D,
41,0.558,14.000,13.426,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[29].mem_reg[29][5]/D,
42,0.559,14.000,13.350,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[14].mem_reg[14][8]/D,
43,0.559,14.000,13.351,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[15].mem_reg[15][8]/D,
44,0.560,14.000,13.347,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[4].mem_reg[4][8]/D,
45,0.561,14.000,13.217,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[16].mem_reg[16][22]/D,
46,0.562,14.000,13.373,18,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[1]/D,
47,0.562,14.000,13.347,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[1].mem_reg[1][8]/D,
48,0.565,14.000,13.348,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[11].mem_reg[11][22]/D,
49,0.568,14.000,13.417,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[4].mem_reg[4][5]/D,
50,0.580,14.000,13.404,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[8].mem_reg[8][5]/D,
51,0.582,14.000,13.350,21,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/alu_operand_c_ex_o_reg[13]/D,
52,0.586,14.000,13.355,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[17].mem_reg[17][24]/D,
53,0.590,14.000,13.395,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[6].mem_reg[6][5]/D,
54,0.593,14.000,13.181,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[21].mem_reg[21][18]/D,
55,0.595,14.000,13.390,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[18].mem_reg[18][5]/D,
56,0.596,14.000,13.184,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[17].mem_reg[17][26]/D,
57,0.606,14.000,13.329,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/mult_operand_a_ex_o_reg[23]/D,
58,0.609,14.000,13.219,10,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[4]/C,core_i/core_i/ex_stage_i/regfile_wdata_mul_wb_reg[31]/D,
59,0.612,14.000,13.373,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[17].mem_reg[17][5]/D,
60,0.612,14.000,13.216,10,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[4]/C,core_i/core_i/ex_stage_i/regfile_wdata_mul_wb_reg[30]/D,
61,0.616,14.000,13.370,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[12].mem_reg[12][5]/D,
62,0.619,14.000,13.407,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[10].mem_reg[10][5]/D,
63,0.626,14.000,13.314,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[13].mem_reg[13][24]/D,
64,0.627,14.000,13.312,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[4]/D,
65,0.629,14.000,13.312,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[6]/D,
66,0.629,14.000,13.233,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[8].mem_reg[8][22]/D,
67,0.632,14.000,13.309,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[3]/D,
68,0.633,14.000,13.229,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[4].mem_reg[4][22]/D,
69,0.634,14.000,13.309,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[11].mem_reg[11][24]/D,
70,0.634,14.000,13.302,21,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[13]/D,
71,0.634,14.000,13.307,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/mult_operand_c_ex_o_reg[19]/D,
72,0.635,14.000,13.274,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[26].mem_reg[26][8]/D,
73,0.636,14.000,13.187,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[20].mem_reg[20][25]/D,
74,0.637,14.000,13.317,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[17].mem_reg[17][19]/D,
75,0.638,14.000,13.304,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[3]/D,
76,0.641,14.000,13.299,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[24].mem_reg[24][24]/D,
77,0.645,14.000,13.338,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[22].mem_reg[22][5]/D,
78,0.648,14.000,13.295,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[15].mem_reg[15][24]/D,
79,0.649,14.000,13.295,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/alu_operand_c_ex_o_reg[26]/D,
80,0.650,14.000,13.295,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[8].mem_reg[8][24]/D,
81,0.651,14.000,13.128,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[20].mem_reg[20][26]/D,
82,0.651,14.000,13.317,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[22]/D,
83,0.651,14.000,13.170,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[16].mem_reg[16][19]/D,
84,0.655,14.000,13.282,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/mult_operand_a_ex_o_reg[4]/D,
85,0.655,14.000,13.281,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/alu_operand_c_ex_o_reg[3]/D,
86,0.655,14.000,13.126,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[16].mem_reg[16][26]/D,
87,0.655,14.000,13.281,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/mult_operand_c_ex_o_reg[23]/D,
88,0.655,14.000,13.280,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[6]/D,
